"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2019","48.78","48.78","48.78","48.78","-","-0.91%"
"Apr 18, 2019","49.23","49.23","49.23","49.23","-","1.18%"
"Apr 17, 2019","48.65","48.65","48.65","48.65","-","0.70%"
"Apr 16, 2019","48.31","48.31","48.31","48.31","-","1.41%"
"Apr 15, 2019","47.64","47.64","47.64","47.64","-","-2.47%"
"Apr 12, 2019","48.84","48.84","48.84","48.84","-","4.14%"
"Apr 11, 2019","46.90","46.90","46.90","46.90","-","-3.50%"
"Apr 10, 2019","48.60","48.60","48.60","48.60","-","-0.47%"
"Apr 09, 2019","48.83","48.83","48.83","48.83","-","1.96%"
"Apr 08, 2019","47.89","47.89","47.89","47.89","-","-2.69%"
"Apr 05, 2019","49.22","49.22","49.22","49.22","-","-4.79%"
"Apr 04, 2019","51.70","51.70","51.70","51.70","-","-3.98%"
"Apr 03, 2019","53.84","53.84","53.84","53.84","-","-0.67%"
"Apr 02, 2019","54.21","54.21","54.21","54.21","-","2.88%"
"Apr 01, 2019","52.69","52.69","52.69","52.69","-","-10.01%"
"Mar 29, 2019","58.55","58.55","58.55","58.55","-","-2.30%"
"Mar 28, 2019","59.93","59.93","59.93","59.93","-","-1.72%"
"Mar 27, 2019","60.97","60.97","60.97","60.97","-","7.89%"
"Mar 26, 2019","56.51","56.51","56.51","56.51","-","-1.04%"
"Mar 25, 2019","57.11","57.11","57.11","57.11","-","9.28%"
"Mar 22, 2019","52.26","52.26","52.26","52.26","-","17.40%"
"Mar 21, 2019","44.51","44.51","44.51","44.51","-","4.66%"
"Mar 20, 2019","42.53","42.53","42.53","42.53","-","-2.62%"
"Mar 19, 2019","43.68","43.68","43.68","43.68","-","-2.83%"
"Mar 18, 2019","44.95","44.95","44.95","44.95","-","-2.40%"
"Mar 15, 2019","46.05","46.05","46.05","46.05","-","1.80%"
"Mar 14, 2019","45.24","45.24","45.24","45.24","-","1.50%"
"Mar 13, 2019","44.57","44.57","44.57","44.57","-","-0.65%"
"Mar 12, 2019","44.86","44.86","44.86","44.86","-","0.04%"
"Mar 11, 2019","44.84","44.84","44.84","44.84","-","-2.14%"
"Mar 08, 2019","45.83","45.83","45.83","45.83","-","-0.01%"
"Mar 07, 2019","45.83","45.83","45.83","45.83","-","0.43%"
"Mar 06, 2019","45.63","45.63","45.63","45.63","-","-0.49%"
"Mar 05, 2019","45.86","45.86","45.86","45.86","-","-1.89%"
"Mar 04, 2019","46.74","46.74","46.74","46.74","-","-2.43%"
"Mar 01, 2019","47.90","47.90","47.90","47.90","-","1.45%"
"Feb 28, 2019","47.22","47.22","47.22","47.22","-","2.02%"
"Feb 26, 2019","46.28","46.28","46.28","46.28","-","0.27%"
"Feb 25, 2019","46.16","46.16","46.16","46.16","-","-2.24%"
"Feb 22, 2019","47.22","47.22","47.22","47.22","-","1.44%"
